"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0043565","sequence-specific DNA binding",956,8,1.46,"5.7e-05","5.7e-05",0.00076,0.00171
"2","GO:0001077","transcriptional activator activity, RNA ...",255,4,0.39,"0.00056","0.00056",0.0042,0.0084
"3","GO:0003700","transcription factor activity, sequence-...",1198,10,1.83,"4.9e-06","0.00099",0.000147,0.0099
"4","GO:0044212","transcription regulatory region DNA bind...",773,5,1.18,"0.00556","0.00556",0.0278,0.0417
"5","GO:0038036","sphingosine-1-phosphate receptor activit...",8,1,0.01,"0.01213","0.01213",0.0369692307692308,0.0436909090909091
"6","GO:0000978","RNA polymerase II core promoter proximal...",330,3,0.5,"0.01338","0.01338",0.0369692307692308,0.0436909090909091
"7","GO:0000976","transcription regulatory region sequence...",618,4,0.94,"0.01346","0.01346",0.0369692307692308,0.0436909090909091
"8","GO:0000987","core promoter proximal region sequence-s...",343,3,0.52,"0.01484","0.01484",0.0369692307692308,0.0436909090909091
"9","GO:0005225","volume-sensitive anion channel activity",10,1,0.02,"0.01514","0.01514",0.0369692307692308,0.0436909090909091
"10","GO:0001159","core promoter proximal region DNA bindin...",346,3,0.53,"0.01518","0.01518",0.0369692307692308,0.0436909090909091
"11","GO:1990837","sequence-specific double-stranded DNA bi...",651,4,0.99,"0.01602","0.01602",0.0369692307692308,0.0436909090909091
"12","GO:0045125","bioactive lipid receptor activity",15,1,0.02,"0.02263","0.02263",0.04554,0.0525461538461538
"13","GO:0003690","double-stranded DNA binding",724,4,1.1,"0.02277","0.02277",0.04554,0.0525461538461538
"14","GO:0008301","DNA binding, bending",19,1,0.03,"0.02859","0.02859",0.05360625,0.0612642857142857
"15","GO:0050699","WW domain binding",22,1,0.03,"0.03303","0.03303",0.0582882352941176,0.06606
"16","GO:0000977","RNA polymerase II regulatory region sequ...",542,3,0.83,"0.04817","0.04817",0.0764052631578947,0.0853941176470588
"17","GO:0001012","RNA polymerase II regulatory region DNA ...",543,3,0.83,"0.04839","0.04839",0.0764052631578947,0.0853941176470588
"18","GO:0003677","DNA binding",2402,12,3.66,"7.6e-05","0.05572",0.00076,0.0928666666666667
"19","GO:0004722","protein serine/threonine phosphatase act...",67,1,0.1,"0.09735","0.09735",0.143028571428571,0.15018
"20","GO:0019888","protein phosphatase regulator activity",69,1,0.11,"0.10012","0.10012",0.143028571428571,0.15018
"21","GO:0019208","phosphatase regulator activity",81,1,0.12,"0.11651","0.11651",0.158877272727273,0.166442857142857
"22","GO:0004702","receptor signaling protein serine/threon...",90,1,0.14,"0.12862","0.12862",0.165516,0.1724125
"23","GO:0005253","anion channel activity",96,1,0.15,"0.13661","0.13661",0.165516,0.1724125
"24","GO:0047485","protein N-terminus binding",97,1,0.15,"0.13793","0.13793",0.165516,0.1724125
"25","GO:0019903","protein phosphatase binding",109,1,0.17,"0.15367","0.15367",0.177311538461538,0.184404
"26","GO:0003676","nucleic acid binding",3847,13,5.86,"0.00181","0.18321",0.01086,0.208178571428571
"27","GO:0003712","transcription cofactor activity",523,2,0.8,"0.18894","0.18894",0.208178571428571,0.208178571428571
"28","GO:0005057","receptor signaling protein activity",141,1,0.21,"0.19430","0.19430",0.208178571428571,0.208178571428571
"29","GO:0019902","phosphatase binding",152,1,0.23,"0.20783","0.20783",0.214996551724138,0.214996551724138
"30","GO:0000989","transcription factor activity, transcrip...",578,2,0.88,"0.21975","0.21975",0.21975,0.21975
