"","logFC","logCPM","F","PValue","FDR","geneName","fullGeneName"
"ENSG00000123358",6.55473369447132,9.6677851041255,11619.7167843957,3.34635297887423e-30,4.35527840200481e-26,"NR4A1","nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]"
"ENSG00000120738",4.74323621791607,8.53676785887547,7080.64940718501,5.87909967428972e-28,3.82582411304403e-24,"EGR1","early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]"
"ENSG00000162772",5.53865012065174,6.48990738931732,6484.61377243877,1.47066387026321e-27,6.3802300904919e-24,"ATF3","activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]"
"ENSG00000119508",7.78782488035578,7.76544527609928,5967.51300011975,3.49734556516149e-27,1.13794881326442e-23,"NR4A3","nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]"
"ENSG00000177606",3.46884037870855,8.54343689205443,5738.75301040566,5.25613220829938e-27,1.21598797289465e-23,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"
"ENSG00000125740",7.6888301244086,7.59213985845556,5703.39769139203,5.60578397031726e-27,1.21598797289465e-23,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]"
"ENSG00000170345",4.13073495223037,7.87584759765854,4937.21125834077,2.51990887522266e-26,4.43623536108414e-23,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]"
"ENSG00000179388",2.74922757554237,8.18317250504801,4899.94176895207,2.72684463224534e-26,4.43623536108414e-23,"EGR3","early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]"
"ENSG00000153234",3.21916980080537,7.35782706005586,4495.31125017046,6.69039703543523e-26,9.67505749068773e-23,"NR4A2","nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]"
"ENSG00000143384",1.75146084680273,9.9741402002106,2674.04402122482,1.48249468696129e-23,1.92946683508012e-20,"MCL1","MCL1, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:6943]"
"ENSG00000173334",2.64419325252392,6.82313637170529,2512.39811871719,2.83156712181903e-23,3.3502587354977e-20,"TRIB1","tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]"
"ENSG00000164949",5.79590401811042,4.22686195172331,2292.62046765216,7.31744530849701e-23,7.93637922417405e-20,"GEM","GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]"
"ENSG00000159200",4.44385552559054,6.26622595544429,2270.74708376992,8.08205578164136e-23,8.09138123062018e-20,"RCAN1","regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]"
"ENSG00000122877",7.15658627608982,4.23754051846514,2158.70733157568,1.36545714329923e-22,1.26938748000282e-19,"EGR2","early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
"ENSG00000144655",2.54232661998692,5.6712686494432,2060.7010719489,2.20965565309444e-22,1.91724455500161e-19,"CSRNP1","cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]"
"ENSG00000261150",2.20199985741188,7.22337078032207,1942.37732339603,4.07606736800943e-22,3.31562604966517e-19,"EPPK1","epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]"
"ENSG00000135625",7.53447810689037,4.6141672281349,1894.86484989895,5.2669615258558e-22,4.03232377994196e-19,"EGR4","early growth response 4 [Source:HGNC Symbol;Acc:HGNC:3241]"
"ENSG00000139289",2.49813135753554,6.38026365005408,1877.36825920683,5.7976345946599e-22,4.19201190274992e-19,"PHLDA1","pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]"
"ENSG00000055483",1.91107893180916,7.03553430508743,1769.98190887732,1.06627457730338e-21,7.30398085452813e-19,"USP36","ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]"
"ENSG00000179094",3.32405619322552,5.56736622983026,1681.84345483523,1.80801738575006e-21,1.17656731377685e-18,"PER1","period circadian clock 1 [Source:HGNC Symbol;Acc:HGNC:8845]"
"ENSG00000108551",2.90968378107602,6.95479818910472,1655.06487925232,2.13420920403217e-21,1.32270156145137e-18,"RASD1","ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]"
"ENSG00000087074",2.90570486303441,5.10790257471384,1631.08842902885,2.48151900907544e-21,1.46804408650531e-18,"PPP1R15A","protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]"
"ENSG00000160888",2.04666514479933,6.97913534621489,1618.77818556365,2.68353802898845e-21,1.51853249770803e-18,"IER2","immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]"
"ENSG00000075426",1.8140389471747,7.03197947190856,1539.64533264593,4.50293138526158e-21,2.44190216579914e-18,"FOSL2","FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]"
"ENSG00000100906",1.63177089009747,7.0133370138335,1513.3514687928,5.379211669187e-21,2.75383332340706e-18,"NFKBIA","NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]"
"ENSG00000130066",1.95309482769105,6.52425849181938,1510.06396096275,5.50131897107826e-21,2.75383332340706e-18,"SAT1","spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]"
"ENSG00000185022",4.32722183001087,4.34883966646184,1490.14999577815,6.30910327848837e-21,3.04122145072319e-18,"MAFF","MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]"
"ENSG00000136826",2.63187821335822,5.04154474332561,1361.40352927021,1.60209279452819e-20,7.44687061456585e-18,"KLF4","Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]"
"ENSG00000062716",1.27485216424305,9.7682416870237,1308.25881369954,2.41473737126896e-20,1.08371747886433e-17,"VMP1","vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]"
"ENSG00000116285",1.58186370276371,6.72778932957451,1296.82291785089,2.6432804116434e-20,1.14674315191796e-17,"ERRFI1","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]"
"ENSG00000130164",1.4666288420448,8.51302134789883,1250.27648174826,3.8511728686499e-20,1.61687144791866e-17,"LDLR","low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]"
"ENSG00000185950",3.53005154692408,4.10384860585956,1229.21890367563,4.58685812139207e-20,1.86556120155993e-17,"IRS2","insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]"
"ENSG00000142871",2.72298767828051,5.04499798647542,1205.69774022352,5.5956185693677e-20,2.2068780509188e-17,"CYR61","cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654]"
"ENSG00000197019",1.99545904098909,5.7162828895192,1189.94272508766,6.40630139171956e-20,2.45229448862441e-17,"SERTAD1","SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]"
"ENSG00000120129",2.72758153050985,4.97660179380494,974.206836387436,4.99523241903846e-19,1.85751285525102e-16,"DUSP1","dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]"
"ENSG00000155090",1.590392675408,6.62219055241829,971.304325729905,5.15032698795752e-19,1.8619862707852e-16,"KLF10","Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]"
"ENSG00000204386",1.29670289681123,6.47044288755472,907.137163225751,1.03700040234678e-18,3.64771898284954e-16,"NEU1","neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]"
"ENSG00000086544",1.71872150948913,6.12208021214335,897.268534865445,1.15979967221575e-18,3.97231387733895e-16,"ITPKC","inositol-trisphosphate 3-kinase C [Source:HGNC Symbol;Acc:HGNC:14897]"
"ENSG00000162783",1.22513761485055,7.47828372382753,883.91547038855,1.352033386964e-18,4.51197808495808e-16,"IER5","immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]"
"ENSG00000153443",1.53893821445219,6.31036982966858,868.596756801587,1.6166616805031e-18,5.26021294293698e-16,"UBALD1","UBA like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29576]"
"ENSG00000143367",1.38585707148803,6.2605308784014,859.317059039441,1.8042643098262e-18,5.72743902253366e-16,"TUFT1","tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]"
"ENSG00000171223",1.55235027584373,7.19441748303508,828.514202266094,2.61974531754483e-18,8.11809173996331e-16,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]"
"ENSG00000059728",1.63220585046476,5.16913580789602,820.571969954269,2.89049629727259e-18,8.74879286255879e-16,"MXD1","MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]"
"ENSG00000120875",1.26318138561933,7.13115756953415,796.581045264522,3.91282358643965e-18,1.15739543130709e-15,"DUSP4","dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]"
"ENSG00000128342",2.50313780959357,3.994455992982,782.891303685268,4.6696022240966e-18,1.34327986518841e-15,"LIF","LIF, interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]"
"ENSG00000167767",1.04808353177689,7.71042333122208,781.619496982765,4.74766606213344e-18,1.34327986518841e-15,"KRT80","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]"
"ENSG00000146278",1.89220815824787,5.61527448172663,771.357511662127,5.43249590759987e-18,1.50433902632792e-15,"PNRC1","proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]"
"ENSG00000165997",1.27782478594535,7.65092039620808,755.77748708583,6.6882388442005e-18,1.81348809494311e-15,"ARL5B","ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]"
"ENSG00000163660",1.06000042445472,7.42904101621467,751.744309914245,7.06295422946827e-18,1.85270014324081e-15,"CCNL1","cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]"
"ENSG00000205189",1.57452577852604,5.51386135696058,751.176225399721,7.11755721567734e-18,1.85270014324081e-15,"ZBTB10","zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]"
"ENSG00000167604",1.8935562366196,4.50524090532975,748.035844641864,7.42787193703516e-18,1.89556378942181e-15,"NFKBID","NFKB inhibitor delta [Source:HGNC Symbol;Acc:HGNC:15671]"
"ENSG00000196428",1.28293710962314,6.45060493527234,735.119103574019,8.86951653039811e-18,2.18794282998073e-15,"TSC22D2","TSC22 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:29095]"
"ENSG00000157557",1.37470907724454,6.22507616143726,734.792032209881,8.9097940829027e-18,2.18794282998073e-15,"ETS2","ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]"
"ENSG00000118523",5.77781557100012,3.09473654340703,730.18664463643,9.49872681487718e-18,2.28936906473382e-15,"CTGF","connective tissue growth factor [Source:HGNC Symbol;Acc:HGNC:2500]"
"ENSG00000128016",1.53193967611108,6.17878168227487,723.537386733006,1.04256301013829e-17,2.46708319580907e-15,"ZFP36","ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]"
"ENSG00000078804",2.78236946762485,3.71677289981614,718.521939320562,1.11903413110617e-17,2.6007552172048e-15,"TP53INP2","tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]"
"ENSG00000134107",1.27492006498652,7.49483170050903,709.983692941936,1.26374650743945e-17,2.88555452532009e-15,"BHLHE40","basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]"
"ENSG00000130513",1.90208502584048,5.80318690921978,697.760401561589,1.50784682424961e-17,3.38355627889804e-15,"GDF15","growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]"
