"","logFC","logCPM","F","PValue","FDR","geneName","fullGeneName"
"ENSG00000100664",-0.530301401944534,8.4523351513979,239.996088372387,1.56517695984792e-11,8.16333695178283e-09,"EIF5","eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]"
"ENSG00000132825",-0.567448139975091,5.09501486830242,91.2733807349968,2.73146506741698e-08,8.68672512537806e-06,"PPP1R3D","protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]"
"ENSG00000198786",-0.400684803136783,11.7314757108778,90.3310164204081,2.94629740602291e-08,9.14685044693637e-06,"MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"
"ENSG00000119938",-0.743961117470763,4.26510300488014,85.2291751412892,4.49273160418369e-08,1.36234249737096e-05,"PPP1R3C","protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]"
"ENSG00000166189",-0.622415978475089,5.21196925768854,68.1970500625307,2.18317052848458e-07,5.87809713516351e-05,"HPS6","HPS6, biogenesis of lysosomal organelles complex 2 subunit 3 [Source:HGNC Symbol;Acc:HGNC:18817]"
"ENSG00000145632",-0.308837694808737,7.29766456482772,68.0075198749841,2.22580480133603e-07,5.87809713516351e-05,"PLK2","polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]"
"ENSG00000168209",-0.908839619250301,4.66534832196134,67.5326977678453,2.33675614706209e-07,5.97430654932206e-05,"DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]"
"ENSG00000158480",-0.409162313375158,5.54562223096349,66.556528467933,2.58479812513864e-07,6.48138129878513e-05,"SPATA2","spermatogenesis associated 2 [Source:HGNC Symbol;Acc:HGNC:14681]"
"ENSG00000177602",-0.837812204918855,2.88520889258662,62.915448978071,3.80676747652321e-07,9.36536625026154e-05,"HASPIN","histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]"
"ENSG00000162702",-0.451494810159245,4.93566746602952,61.7576071692684,4.32168471696946e-07,0.000102455358226481,"ZNF281","zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]"
"ENSG00000105732",-0.496946484789225,4.59745742527174,55.9186929134227,8.44627156438193e-07,0.000183551558213293,"ZNF574","zinc finger protein 574 [Source:HGNC Symbol;Acc:HGNC:26166]"
"ENSG00000198695",-0.329096866367164,9.72600747935521,54.2496538916031,1.03327354389497e-06,0.00022086645473519,"MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"ENSG00000116273",-0.400240838185841,4.9962724201759,52.445803678948,1.29186043847037e-06,0.000268997626178573,"PHF13","PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]"
"ENSG00000112029",-0.403429141055978,5.28486619042833,52.3975643030993,1.29970476641231e-06,0.000268997626178573,"FBXO5","F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]"
"ENSG00000144802",-0.467804763298573,6.00193217570533,52.0946551509058,1.35019451537102e-06,0.000275081035717542,"NFKBIZ","NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]"
"ENSG00000152684",-0.3964252637175,5.1488211456622,46.6817904517554,2.74996685059491e-06,0.000551643350229339,"PELO","pelota mRNA surveillance and ribosome rescue factor [Source:HGNC Symbol;Acc:HGNC:8829]"
"ENSG00000189114",-0.44919286992104,4.40276910636422,45.8782318372635,3.07229169411792e-06,0.000606963809084902,"BLOC1S3","biogenesis of lysosomal organelles complex 1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:20914]"
"ENSG00000188483",-0.511751897664598,5.73044635395001,44.5179847196422,3.71873478812018e-06,0.000723710192571628,"IER5L","immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]"
"ENSG00000102178",-0.297217195887158,6.7048856492873,43.9093191123973,4.05614946481275e-06,0.000777766659877845,"UBL4A","ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]"
