"","logFC","logCPM","F","PValue","FDR","geneName","fullGeneName"
"ENSG00000265972",-1.49437741069114,4.99377527398319,394.338256512911,4.72082757097252e-15,7.06224952140314e-13,"TXNIP","thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]"
"ENSG00000119938",-1.26758303044584,4.08917285745456,218.926187935128,1.49579173810594e-12,1.37096686418654e-10,"PPP1R3C","protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]"
"ENSG00000166189",-0.889216461312758,5.10405074023459,218.222647377385,1.54265493065101e-12,1.40403174282678e-10,"HPS6","HPS6, biogenesis of lysosomal organelles complex 2 subunit 3 [Source:HGNC Symbol;Acc:HGNC:18817]"
"ENSG00000040633",-0.924175828953577,5.04360444801544,204.673194896195,2.84655690744039e-12,2.45350583777064e-10,"PHF23","PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]"
"ENSG00000080546",-0.750244997310309,5.05952831283053,170.40362841287,1.60808373410374e-11,1.26079577104579e-09,"SESN1","sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]"
"ENSG00000168758",-0.464151533284259,7.86973580777357,166.140590392543,2.03800661999675e-11,1.5788485809082e-09,"SEMA4C","semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]"
"ENSG00000175895",-0.601913971996728,6.20376889213175,163.608384815044,2.35205919706206e-11,1.76948268495738e-09,"PLEKHF2","pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]"
"ENSG00000119401",-0.904173881383032,4.24565927255961,158.371972421862,3.18371478831511e-11,2.32786786347872e-09,"TRIM32","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]"
"ENSG00000132825",-0.887843421902429,4.96613211928258,152.530930992968,4.51067474401648e-11,3.24344927035218e-09,"PPP1R3D","protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]"
"ENSG00000183779",-0.624780188309488,6.64015332934309,150.538113293817,5.09377589706467e-11,3.56427383334928e-09,"ZNF703","zinc finger protein 703 [Source:HGNC Symbol;Acc:HGNC:25883]"
"ENSG00000167183",-0.742203256460632,4.79468748664898,146.220103554243,6.66184360846518e-11,4.58750764889811e-09,"PRR15L","proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]"
"ENSG00000102178",-0.658237143579234,6.54090534325177,145.191956771103,7.10875781568183e-11,4.8440043440366e-09,"UBL4A","ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]"
"ENSG00000196372",-0.606156104005265,5.5319031648498,141.611168348099,8.94120094398604e-11,5.90709290791768e-09,"ASB13","ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:HGNC:19765]"
"ENSG00000127334",-0.581244841842579,5.79101556121391,139.887515590386,1.00030218520759e-10,6.50946647023842e-09,"DYRK2","dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]"
"ENSG00000198890",-0.42060360175226,7.80318257583402,133.23962202499,1.56011812873163e-10,9.6540675213231e-09,"PRMT6","protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]"
"ENSG00000180035",-0.786298344410795,4.57358151762001,133.192729930232,1.56512350902741e-10,9.6540675213231e-09,"ZNF48","zinc finger protein 48 [Source:HGNC Symbol;Acc:HGNC:13114]"
"ENSG00000109118",-0.551280661878652,5.81633942908095,131.034490678611,1.81569260230997e-10,1.09912740553787e-08,"PHF12","PHD finger protein 12 [Source:HGNC Symbol;Acc:HGNC:20816]"
"ENSG00000167447",-0.568433816012717,5.8951172416225,126.159688768778,2.55963645451943e-10,1.52117207559682e-08,"SMG8","SMG8, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:25551]"
"ENSG00000100105",-0.515564845785225,6.43149363087049,125.904699895581,2.60684842527505e-10,1.54218782977067e-08,"PATZ1","POZ/BTB and AT hook containing zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:13071]"
"ENSG00000123080",-0.731473714553949,4.60329757928684,124.026011674857,2.98558249064316e-10,1.74248233702783e-08,"CDKN2C","cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]"
"ENSG00000173894",-0.627546217033694,5.30105601888965,119.848658187005,4.06287659601936e-10,2.28910557996502e-08,"CBX2","chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]"
"ENSG00000118655",-0.504736897257764,6.70013151611721,118.983024550685,4.33572022812332e-10,2.41151276790705e-08,"DCLRE1B","DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]"
"ENSG00000198786",-0.402152720097824,11.7149019327868,112.135181748307,7.35833228166933e-10,3.90892631207863e-08,"MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]"
"ENSG00000165572",-0.731090946331735,4.31760855997823,110.455011648052,8.41328545479827e-10,4.41302076897114e-08,"KBTBD6","kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340]"
"ENSG00000185551",-0.394843988455928,7.08274027293565,109.290106196997,9.24166711063376e-10,4.77302767638486e-08,"NR2F2","nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]"
"ENSG00000160685",-0.493948269734778,6.10687312112753,107.946154513548,1.03101222688977e-09,5.26220554234134e-08,"ZBTB7B","zinc finger and BTB domain containing 7B [Source:HGNC Symbol;Acc:HGNC:18668]"
"ENSG00000160993",-0.980537630966469,3.51040471881686,100.903706115692,1.86517413144439e-09,8.99083011879583e-08,"ALKBH4","alkB homolog 4, lysine demethylase [Source:HGNC Symbol;Acc:HGNC:21900]"
"ENSG00000135392",-0.622387089094732,4.71279523470933,100.683653412489,1.90109708952409e-09,9.13017661260368e-08,"DNAJC14","DnaJ heat shock protein family (Hsp40) member C14 [Source:HGNC Symbol;Acc:HGNC:24581]"
"ENSG00000181449",-0.886301448533088,3.74666082563381,99.823894431204,2.04889561353852e-09,9.76790344696113e-08,"SOX2","SRY-box 2 [Source:HGNC Symbol;Acc:HGNC:11195]"
"ENSG00000198695",-0.37387042485411,9.69055406750112,98.2101694095421,2.36149290878415e-09,1.10556943193618e-07,"MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]"
"ENSG00000135245",-0.816248325491682,4.0973853342358,96.3862194991499,2.77914899978344e-09,1.2691447099011e-07,"HILPDA","hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]"
"ENSG00000204439",-0.708683263807728,4.22497613691337,95.2014387977208,3.09350560290819e-09,1.39314793847232e-07,"C6orf47","chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]"
