,GO.ID,Term,Annotated,Significant,Expected,fisher,elim,FDR_fisher,FDR_elim
22,GO:0071277,cellular response to calcium ion,51,5,0.59,0.0003,0.0003,0.0003913043,0.0004090909
20,GO:0071260,cellular response to mechanical stimulus,74,6,0.86,0.00022,0.00022,0.0003142857,0.00033
3,GO:0051591,response to cAMP,95,10,1.1,1.50E-07,1.50E-07,7.50E-07,1.50E-06
