"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0005634","nucleus",6853,117,78.06,"1.6e-08","1.8e-06",4.8e-07,5.4e-05
"2","GO:0033256","I-kappaB/NF-kappaB complex",7,3,0.08,"4.9e-05","4.9e-05",0.000735,0.000735
"3","GO:1990622","CHOP-ATF3 complex",2,2,0.02,"0.00013","0.00013",0.0013,0.0013
"4","GO:0005667","transcription factor complex",303,10,3.45,"0.00255","0.00255",0.0153,0.019125
"5","GO:0031430","M band",29,3,0.33,"0.00428","0.00428",0.0171375,0.0195857142857143
"6","GO:0005654","nucleoplasm",3227,52,36.76,"0.00454","0.00454",0.0171375,0.0195857142857143
"7","GO:0000790","nuclear chromatin",277,9,3.16,"0.00457","0.00457",0.0171375,0.0195857142857143
"8","GO:0034358","plasma lipoprotein particle",38,3,0.43,"0.00916","0.00916",0.0262846153846154,0.028475
"9","GO:0034752","cytosolic aryl hydrocarbon receptor comp...",1,1,0.01,"0.01139","0.01139",0.0262846153846154,0.028475
"10","GO:0035976","transcription factor AP-1 complex",1,1,0.01,"0.01139","0.01139",0.0262846153846154,0.028475
"11","GO:0097356","perinucleolar compartment",1,1,0.01,"0.01139","0.01139",0.0262846153846154,0.028475
"12","GO:0098745","Dcp1-Dcp2 complex",1,1,0.01,"0.01139","0.01139",0.0262846153846154,0.028475
"13","GO:0016327","apicolateral plasma membrane",19,2,0.22,"0.01944","0.01944",0.0308863636363636,0.0323571428571429
"14","GO:0005584","collagen type I trimer",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"15","GO:0033257","Bcl3/NF-kappaB2 complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"16","GO:0034753","nuclear aryl hydrocarbon receptor comple...",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"17","GO:0036488","CHOP-C/EBP complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"18","GO:0097059","CNTFR-CLCF1 complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"19","GO:1905286","serine-type peptidase complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"20","GO:1990617","CHOP-ATF4 complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"21","GO:1990666","PCSK9-LDLR complex",2,1,0.02,"0.02265","0.02265",0.0308863636363636,0.0323571428571429
"22","GO:0000932","cytoplasmic mRNA processing body",101,4,1.15,"0.02835","0.02835",0.0369782608695652,0.0386590909090909
"23","GO:0005719","nuclear euchromatin",24,2,0.27,"0.03023","0.03023",0.0377875,0.03875
"24","GO:0031981","nuclear lumen",3794,65,43.21,"0.00022","0.03100",0.00165,0.03875
"25","GO:0097058","CRLF-CLCF1 complex",3,1,0.03,"0.03379","0.03379",0.0389666666666667,0.0389666666666667
"26","GO:0097136","Bcl-2 family protein complex",3,1,0.03,"0.03379","0.03379",0.0389666666666667,0.0389666666666667
"27","GO:0034364","high-density lipoprotein particle",26,2,0.3,"0.03507","0.03507",0.0389666666666667,0.0389666666666667
"28","GO:0030018","Z disc",116,4,1.32,"0.04369","0.04369",0.04479,0.04479
"29","GO:0034751","aryl hydrocarbon receptor complex",4,1,0.05,"0.04479","0.04479",0.04479,0.04479
"30","GO:0070876","SOSS complex",4,1,0.05,"0.04479","0.04479",0.04479,0.04479
