"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0005634","nucleus",6853,25,12.55,"8.4e-06","0.00057",0.000252,0.0171
"2","GO:0098745","Dcp1-Dcp2 complex",1,1,0,"0.0018","0.00183",0.0165,0.0217
"3","GO:0005667","transcription factor complex",303,4,0.55,"0.0022","0.00217",0.0165,0.0217
"4","GO:0005654","nucleoplasm",3227,13,5.91,"0.0029","0.00293",0.0174,0.02196
"5","GO:1990622","CHOP-ATF3 complex",2,1,0,"0.0037","0.00366",0.0185,0.02196
"6","GO:0070578","RISC-loading complex",7,1,0.01,"0.0128","0.01275",0.0548571428571429,0.06375
"7","GO:0030014","CCR4-NOT complex",15,1,0.03,"0.0271","0.02714",0.097125,0.10364
"8","GO:1902555","endoribonuclease complex",21,1,0.04,"0.0378","0.03779",0.097125,0.10364
"9","GO:0042629","mast cell granule",22,1,0.04,"0.0396","0.03955",0.097125,0.10364
"10","GO:0000178","exosome (RNase complex)",23,1,0.04,"0.0413","0.04131",0.097125,0.10364
"11","GO:1905354","exoribonuclease complex",23,1,0.04,"0.0413","0.04131",0.097125,0.10364
"12","GO:0005719","nuclear euchromatin",24,1,0.04,"0.0431","0.04307",0.097125,0.10364
"13","GO:0051233","spindle midzone",28,1,0.05,"0.0501","0.05007",0.097125,0.10364
"14","GO:0000407","pre-autophagosomal structure",29,1,0.05,"0.0518","0.05182",0.097125,0.10364
"15","GO:0000421","autophagosome membrane",29,1,0.05,"0.0518","0.05182",0.097125,0.10364
"16","GO:0000791","euchromatin",32,1,0.06,"0.0570","0.05703",0.100588235294118,0.10693125
"17","GO:0010494","cytoplasmic stress granule",41,1,0.08,"0.0725","0.07249",0.117157894736842,0.12365
"18","GO:0005801","cis-Golgi network",42,1,0.08,"0.0742","0.07419",0.117157894736842,0.12365
"19","GO:0043231","intracellular membrane-bounded organelle",10892,30,19.95,"5.4e-05","0.07844",0.00081,0.123852631578947
"20","GO:0000790","nuclear chromatin",277,2,0.51,"0.0911","0.09108",0.13665,0.13662
"21","GO:0035577","azurophil granule membrane",58,1,0.11,"0.1010","0.10103",0.13896,0.138948
"22","GO:0016529","sarcoplasmic reticulum",60,1,0.11,"0.1043","0.10433",0.13896,0.138948
"23","GO:0072686","mitotic spindle",65,1,0.12,"0.1125","0.11253",0.13896,0.138948
"24","GO:0016528","sarcoplasm",67,1,0.12,"0.1158","0.11579",0.13896,0.138948
"25","GO:0033116","endoplasmic reticulum-Golgi intermediate...",67,1,0.12,"0.1158","0.11579",0.13896,0.138948
"26","GO:0017053","transcriptional repressor complex",82,1,0.15,"0.1399","0.13988",0.157222222222222,0.157177777777778
"27","GO:0005776","autophagosome",83,1,0.15,"0.1415","0.14146",0.157222222222222,0.157177777777778
"28","GO:0005796","Golgi lumen",96,1,0.18,"0.1618","0.16178",0.173357142857143,0.173335714285714
"29","GO:0000932","cytoplasmic mRNA processing body",101,1,0.18,"0.1695","0.16947",0.175344827586207,0.175313793103448
"30","GO:0005793","endoplasmic reticulum-Golgi intermediate...",110,1,0.2,"0.1831","0.18315",0.1831,0.18315
