"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0005634","nucleus",6853,64,38.44,"1.5e-07","5.4e-06",4.5e-06,0.000162
"2","GO:0005667","transcription factor complex",303,7,1.7,"0.0016","0.0016",0.021,0.024
"3","GO:0097356","perinucleolar compartment",1,1,0.01,"0.0056","0.0056",0.0336,0.042
"4","GO:0098745","Dcp1-Dcp2 complex",1,1,0.01,"0.0056","0.0056",0.0336,0.042
"5","GO:0005719","nuclear euchromatin",24,2,0.13,"0.0079","0.0079",0.0395,0.0474
"6","GO:0005654","nucleoplasm",3227,28,18.1,"0.0095","0.0095",0.0407142857142857,0.0475
"7","GO:1990622","CHOP-ATF3 complex",2,1,0.01,"0.0112","0.0112",0.042,0.048
"8","GO:0097136","Bcl-2 family protein complex",3,1,0.02,"0.0167","0.0167",0.0556666666666667,0.062625
"9","GO:0032593","insulin-responsive compartment",7,1,0.04,"0.0386","0.0386",0.105272727272727,0.1158
"10","GO:0070578","RISC-loading complex",7,1,0.04,"0.0386","0.0386",0.105272727272727,0.1158
"11","GO:0030056","hemidesmosome",8,1,0.04,"0.0440","0.0440",0.11,0.12
"12","GO:0033116","endoplasmic reticulum-Golgi intermediate...",67,2,0.38,"0.0544","0.0544",0.125538461538462,0.136
"13","GO:0000164","protein phosphatase type 1 complex",12,1,0.07,"0.0653","0.0653",0.139928571428571,0.14568
"14","GO:0005776","autophagosome",83,2,0.47,"0.0791","0.0791",0.140076923076923,0.14568
"15","GO:0030014","CCR4-NOT complex",15,1,0.08,"0.0809","0.0809",0.140076923076923,0.14568
"16","GO:0098552","side of membrane",414,5,2.32,"0.0834","0.0834",0.140076923076923,0.14568
"17","GO:0016327","apicolateral plasma membrane",19,1,0.11,"0.1014","0.1014",0.140076923076923,0.14568
"18","GO:0045095","keratin filament",98,2,0.55,"0.1048","0.1048",0.140076923076923,0.14568
"19","GO:0000932","cytoplasmic mRNA processing body",101,2,0.57,"0.1102","0.1102",0.140076923076923,0.14568
"20","GO:1902555","endoribonuclease complex",21,1,0.12,"0.1115","0.1115",0.140076923076923,0.14568
"21","GO:0001669","acrosomal vesicle",104,2,0.58,"0.1157","0.1157",0.140076923076923,0.14568
"22","GO:0042629","mast cell granule",22,1,0.12,"0.1165","0.1165",0.140076923076923,0.14568
"23","GO:0009897","external side of plasma membrane",213,3,1.19,"0.1178","0.1178",0.140076923076923,0.14568
"24","GO:0000178","exosome (RNase complex)",23,1,0.13,"0.1214","0.1214",0.140076923076923,0.14568
"25","GO:1905354","exoribonuclease complex",23,1,0.13,"0.1214","0.1214",0.140076923076923,0.14568
"26","GO:0005793","endoplasmic reticulum-Golgi intermediate...",110,2,0.62,"0.1268","0.1268",0.140888888888889,0.1458
"27","GO:0031981","nuclear lumen",3794,34,21.28,"0.0021","0.1334",0.021,0.1458
"28","GO:0034364","high-density lipoprotein particle",26,1,0.15,"0.1362","0.1362",0.1458,0.1458
"29","GO:0016607","nuclear speck",359,4,2.01,"0.1430","0.1430",0.1458,0.1458
"30","GO:0051233","spindle midzone",28,1,0.16,"0.1458","0.1458",0.1458,0.1458
