"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0016020","membrane",8804,1,0.5,"0.50","0.50",1,1
"2","GO:0005622","intracellular",13974,1,0.8,"0.80","0.80",1,1
"3","GO:0044464","cell part",15853,1,0.91,"0.91","0.91",1,1
"4","GO:0005623","cell",15879,1,0.91,"0.91","0.91",1,1
"5","GO:0005575","cellular_component",17469,1,1,"1.00","1.00",1,1
"6","GO:0000015","phosphopyruvate hydratase complex",4,0,0,"1.00","1.00",1,1
"7","GO:0000109","nucleotide-excision repair complex",15,0,0,"1.00","1.00",1,1
"8","GO:0000110","nucleotide-excision repair factor 1 comp...",3,0,0,"1.00","1.00",1,1
"9","GO:0000111","nucleotide-excision repair factor 2 comp...",1,0,0,"1.00","1.00",1,1
"10","GO:0000118","histone deacetylase complex",61,0,0,"1.00","1.00",1,1
"11","GO:0000120","RNA polymerase I transcription factor co...",5,0,0,"1.00","1.00",1,1
"12","GO:0000123","histone acetyltransferase complex",81,0,0,"1.00","1.00",1,1
"13","GO:0000124","SAGA complex",9,0,0,"1.00","1.00",1,1
"14","GO:0000125","PCAF complex",5,0,0,"1.00","1.00",1,1
"15","GO:0000126","transcription factor TFIIIB complex",2,0,0,"1.00","1.00",1,1
"16","GO:0000127","transcription factor TFIIIC complex",6,0,0,"1.00","1.00",1,1
"17","GO:0000137","Golgi cis cisterna",6,0,0,"1.00","1.00",1,1
"18","GO:0000138","Golgi trans cisterna",5,0,0,"1.00","1.00",1,1
"19","GO:0000139","Golgi membrane",686,0,0.04,"1.00","1.00",1,1
"20","GO:0000145","exocyst",17,0,0,"1.00","1.00",1,1
"21","GO:0000151","ubiquitin ligase complex",283,0,0.02,"1.00","1.00",1,1
"22","GO:0000152","nuclear ubiquitin ligase complex",37,0,0,"1.00","1.00",1,1
"23","GO:0000153","cytoplasmic ubiquitin ligase complex",13,0,0,"1.00","1.00",1,1
"24","GO:0000159","protein phosphatase type 2A complex",20,0,0,"1.00","1.00",1,1
"25","GO:0000164","protein phosphatase type 1 complex",12,0,0,"1.00","1.00",1,1
"26","GO:0000172","ribonuclease MRP complex",2,0,0,"1.00","1.00",1,1
"27","GO:0000176","nuclear exosome (RNase complex)",11,0,0,"1.00","1.00",1,1
"28","GO:0000177","cytoplasmic exosome (RNase complex)",10,0,0,"1.00","1.00",1,1
"29","GO:0000178","exosome (RNase complex)",23,0,0,"1.00","1.00",1,1
"30","GO:0000214","tRNA-intron endonuclease complex",4,0,0,"1.00","1.00",1,1
