"","GO.ID","Term","Annotated","Significant","Expected","fisher","elim","FDR_fisher","FDR_elim"
"1","GO:0051591","response to cAMP",95,9,0.55,"3.9e-09","3.9e-09",5.85e-08,1.17e-07
"2","GO:0045944","positive regulation of transcription fro...",1040,25,6.02,"6.4e-10","3.5e-07",1.92e-08,5.25e-06
"3","GO:0071376","cellular response to corticotropin-relea...",5,3,0.03,"1.9e-06","1.9e-06",1.14e-05,1.9e-05
"4","GO:0034097","response to cytokine",794,17,4.59,"2.7e-06","2.7e-06",1.2e-05,2.025e-05
"5","GO:0071277","cellular response to calcium ion",51,5,0.3,"1.1e-05","1.1e-05",3.3e-05,6.6e-05
"6","GO:0000188","inactivation of MAPK activity",26,4,0.15,"1.4e-05","1.4e-05",3.5e-05,6.85714285714286e-05
"7","GO:0070373","negative regulation of ERK1 and ERK2 cas...",55,5,0.32,"1.6e-05","1.6e-05",3.69230769230769e-05,6.85714285714286e-05
"8","GO:0045444","fat cell differentiation",205,8,1.19,"2.5e-05","2.5e-05",5.35714285714286e-05,9.375e-05
"9","GO:0032870","cellular response to hormone stimulus",610,16,3.53,"3.9e-07","3.1e-05",3.9e-06,0.000102
"10","GO:0035914","skeletal muscle cell differentiation",64,5,0.37,"3.4e-05","3.4e-05",6.8e-05,0.000102
"11","GO:0002042","cell migration involved in sprouting ang...",33,4,0.19,"3.8e-05","3.8e-05",7.125e-05,0.000103636363636364
"12","GO:0000122","negative regulation of transcription fro...",736,16,4.26,"4.5e-06","6.0e-05",1.6875e-05,0.00015
"13","GO:0071409","cellular response to cycloheximide",3,2,0.02,"9.9e-05","9.9e-05",0.000166666666666667,2e-04
"14","GO:0051726","regulation of cell cycle",950,16,5.5,"0.00010","0.00010",0.000166666666666667,2e-04
"15","GO:0042542","response to hydrogen peroxide",126,8,0.73,"6.7e-07","0.00010",5.025e-06,2e-04
"16","GO:0042493","response to drug",408,10,2.36,"0.00012","0.00012",0.000189473684210526,0.000225
"17","GO:0043153","entrainment of circadian clock by photop...",18,3,0.1,"0.00014","0.00014",0.00021,0.000247058823529412
"18","GO:0051412","response to corticosterone",19,3,0.11,"0.00017","0.00017",0.000242857142857143,0.000283333333333333
"19","GO:0045085","negative regulation of interleukin-2 bio...",4,2,0.02,"0.00020","0.00020",0.000260869565217391,3e-04
"20","GO:1902895","positive regulation of pri-miRNA transcr...",20,3,0.12,"0.00020","0.00020",0.000260869565217391,3e-04
"21","GO:0048146","positive regulation of fibroblast prolif...",52,4,0.3,"0.00023","0.00023",0.0002875,0.000328571428571429
"22","GO:0032496","response to lipopolysaccharide",303,10,1.75,"1.0e-05","0.00026",3.3e-05,0.000354545454545454
"23","GO:1990441","negative regulation of transcription fro...",5,2,0.03,"0.00033","0.00033",0.000380769230769231,0.000396
"24","GO:0060395","SMAD protein signal transduction",57,4,0.33,"0.00033","0.00033",0.000380769230769231,0.000396
"25","GO:0043434","response to peptide hormone",394,12,2.28,"2.8e-06","0.00033",1.2e-05,0.000396
"26","GO:2000144","positive regulation of DNA-templated tra...",25,3,0.14,"0.00039","0.00039",0.000428571428571429,0.000444444444444444
"27","GO:0043065","positive regulation of apoptotic process",562,11,3.25,"0.00040","0.00040",0.000428571428571429,0.000444444444444444
"28","GO:0031668","cellular response to extracellular stimu...",188,8,1.09,"1.3e-05","0.00054",3.5e-05,0.000568965517241379
"29","GO:0051403","stress-activated MAPK cascade",245,7,1.42,"0.00055","0.00055",0.000568965517241379,0.000568965517241379
"30","GO:0071499","cellular response to laminar fluid shear...",7,2,0.04,"0.00068","0.00068",0.00068,0.00068
