,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAGRAAPEI-201-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAHRAAPEI-202-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAIRAAPEI-205-counts.tsv
ENSG00000012983,1412,1138,1167,989,1802,1270
ENSG00000013016,300,233,265,184,335,258
ENSG00000013275,5234,4235,4361,3972,6255,4462
ENSG00000013288,866,701,785,716,965,767
ENSG00000013293,2,1,0,1,0,0
ENSG00000013297,15,6,10,16,21,13
ENSG00000013306,9986,7809,8446,7631,11364,8073
ENSG00000013364,197,138,188,144,237,162
ENSG00000013374,1186,1022,1013,847,1395,1001
ENSG00000013375,1524,1344,1218,1110,1663,1163
ENSG00000013392,314,246,252,196,241,191
ENSG00000013441,1193,961,894,1341,2220,1720
ENSG00000013503,563,415,416,360,475,356
ENSG00000013523,1425,1122,1220,1054,1611,1199
ENSG00000013561,1089,848,821,721,1204,847
ENSG00000013563,480,330,378,351,450,328
ENSG00000013573,3606,2714,2869,2732,4156,2929
ENSG00000013583,717,556,579,485,741,529
ENSG00000013588,2112,1785,1832,2279,3679,2677
ENSG00000013619,274,229,243,250,295,268
ENSG00000013725,0,2,0,0,0,1
ENSG00000013810,3295,2551,3147,2260,3615,2722
ENSG00000014123,1934,1616,1494,1372,2215,1526
ENSG00000014138,1893,1369,1373,1352,1870,1314
ENSG00000014164,761,646,648,578,818,579
ENSG00000014216,5318,4277,4689,4419,6166,4712
ENSG00000014257,16,14,24,23,23,19
ENSG00000014641,5156,4350,4309,3393,5677,4320
ENSG00000014824,1574,1259,1257,1033,1906,1379
ENSG00000014914,798,689,845,494,841,705
ENSG00000014919,1812,1512,1344,1258,1870,1347
ENSG00000015133,273,189,219,229,288,199
ENSG00000015153,501,456,421,341,703,476
ENSG00000015171,4239,3578,3484,3062,4817,3532
ENSG00000015285,42,43,57,39,61,45
ENSG00000015413,0,0,0,2,0,1
ENSG00000015475,2377,1827,1926,1662,2602,1873
ENSG00000015479,110,78,65,63,108,86
ENSG00000015520,3,3,2,0,5,1
ENSG00000015532,2102,1490,1738,1410,2083,1602
ENSG00000015568,15,27,15,22,42,29
ENSG00000015592,1,1,0,1,0,1
ENSG00000015676,1475,1186,1158,1117,1566,1156
ENSG00000016082,0,0,0,0,0,1
ENSG00000016391,1014,732,718,673,1036,657
ENSG00000016402,120,87,66,83,102,92
ENSG00000016490,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,3,0
ENSG00000016864,902,686,669,532,795,585
ENSG00000017260,2906,2328,2309,2089,3220,2464
ENSG00000017427,0,0,0,0,0,0
ENSG00000017483,5,11,6,5,9,5
ENSG00000017797,2650,2060,2212,1800,2733,2078
ENSG00000018189,677,520,602,518,856,652
ENSG00000018236,0,1,0,1,2,2
ENSG00000018280,61,43,52,43,72,37
ENSG00000018408,573,495,469,429,739,498
ENSG00000018510,0,0,0,0,0,0
ENSG00000018610,1142,827,905,798,1324,872
ENSG00000018625,0,0,0,0,0,0
ENSG00000018699,1083,860,847,776,1154,808
ENSG00000018869,0,0,0,0,0,0
ENSG00000019102,13,16,10,14,15,16
ENSG00000019144,1777,1346,1580,1284,1768,1340
ENSG00000019169,0,0,0,1,0,0
ENSG00000019186,575,436,414,820,1294,787
ENSG00000019485,167,108,121,90,162,84
ENSG00000019505,1,1,1,2,4,3
ENSG00000019549,5,13,8,12,32,17
ENSG00000019582,7,0,2,1,6,1
ENSG00000019991,0,0,0,0,0,0
ENSG00000019995,718,583,585,449,739,544
ENSG00000020129,2545,1944,2144,2022,2717,1933
ENSG00000020181,12,6,9,9,7,18
ENSG00000020256,700,579,592,532,761,515
ENSG00000020426,695,653,654,501,942,668
ENSG00000020577,804,629,640,608,971,706
ENSG00000020633,1,1,0,4,4,1
ENSG00000020922,1143,896,898,755,1312,859
ENSG00000021300,255,207,224,179,313,204
ENSG00000021355,1218,941,876,825,1332,939
ENSG00000021461,0,1,0,0,1,0
ENSG00000021488,0,1,2,0,2,1
ENSG00000021574,864,622,705,622,948,674
ENSG00000021645,189,157,198,151,239,164
ENSG00000021762,468,380,415,407,574,417
ENSG00000021776,1501,1166,1141,998,1629,1120
ENSG00000021826,14,7,6,6,20,9
ENSG00000021852,0,0,0,0,0,0
ENSG00000022267,2,3,1,5,2,0
ENSG00000022277,3270,2616,2614,2328,3531,2578
ENSG00000022355,14,8,2,9,8,5
ENSG00000022556,1,2,0,0,1,1
ENSG00000022567,573,450,503,415,617,397
ENSG00000022840,2979,2424,2644,2218,3149,2532
ENSG00000022976,638,533,544,518,714,514
ENSG00000023041,1302,981,1043,887,1319,966
ENSG00000023171,56,56,59,63,104,59
ENSG00000023191,3245,2585,2753,2715,3891,2677
ENSG00000023228,4131,3511,3455,2971,4657,3333
ENSG00000023287,1130,904,1026,843,1270,939
ENSG00000023318,1954,1695,1614,1271,2307,1672
ENSG00000023330,916,672,740,565,837,580
ENSG00000023445,2,1,7,8,8,12
ENSG00000023516,2535,1994,1924,1789,2879,1829
ENSG00000023572,1017,742,711,621,1014,639
ENSG00000023608,167,119,116,104,161,115
ENSG00000023697,963,877,868,707,1221,805
ENSG00000023734,4921,4023,4062,3704,5801,4132
ENSG00000023839,82,53,64,61,90,80
ENSG00000023892,92,86,104,76,139,83
ENSG00000023902,464,364,428,301,504,414
ENSG00000023909,1117,867,892,726,1149,840
ENSG00000024048,1856,1474,1476,1311,2031,1487
ENSG00000024422,82,70,104,82,105,75
ENSG00000024526,1717,1598,1744,1141,2122,1653
ENSG00000024862,162,127,141,114,184,138
ENSG00000025039,33,34,32,22,51,38
ENSG00000025156,477,365,379,316,540,376
ENSG00000025293,1317,1090,1136,860,1366,989
ENSG00000025423,115,96,89,61,144,91
ENSG00000025434,312,220,259,241,294,204
ENSG00000025708,18,16,22,11,24,21
ENSG00000025770,1477,1056,1086,1334,1776,1283
ENSG00000025772,1639,1271,1350,1155,1802,1289
ENSG00000025796,3577,3001,2823,2451,4058,2781
ENSG00000025800,2442,2008,2059,1698,2594,1931
ENSG00000026025,64,59,62,45,87,56
ENSG00000026036,580,395,468,524,783,535
ENSG00000026103,253,221,202,158,245,182
ENSG00000026297,594,430,470,463,681,514
ENSG00000026508,1073,889,794,741,1089,801
ENSG00000026559,80,63,64,65,80,61
ENSG00000026652,3,1,2,1,7,2
ENSG00000026751,0,0,0,0,0,0
ENSG00000026950,26,18,23,25,34,16
ENSG00000027001,614,482,483,466,708,469
ENSG00000027075,619,533,504,472,757,578
ENSG00000027644,2,0,0,0,0,0
ENSG00000027697,444,361,321,372,521,401
ENSG00000027847,784,601,630,541,850,640
ENSG00000027869,5,3,1,2,10,1
ENSG00000028116,702,624,577,549,907,578
ENSG00000028137,0,0,0,0,0,0
ENSG00000028203,1587,1383,1311,1119,1807,1217
ENSG00000028277,41,39,31,36,45,30
ENSG00000028310,1936,1590,1659,1671,2395,1679
ENSG00000028528,3043,2520,2551,2229,3485,2571
ENSG00000028839,429,359,358,250,500,365
ENSG00000029153,176,105,134,105,152,109
ENSG00000029363,6108,4857,4424,4446,6916,4681
ENSG00000029364,1866,1556,1542,1466,2214,1555
ENSG00000029534,34,20,18,25,43,19
ENSG00000029559,4,1,0,3,0,0
ENSG00000029639,178,166,142,117,201,166
ENSG00000029725,1688,1461,1372,1224,1877,1330
ENSG00000029993,6961,6079,6248,5126,8700,6700
ENSG00000030066,3431,2626,2683,2503,3872,2698
ENSG00000030110,1075,863,927,777,1078,870
ENSG00000030304,0,0,0,0,0,0
ENSG00000030419,422,334,363,306,422,315
ENSG00000030582,5621,4076,4641,4101,6054,4734
ENSG00000031003,1006,785,715,641,1059,693
ENSG00000031081,40,28,34,32,32,26
ENSG00000031691,412,370,360,276,477,364
ENSG00000031698,9360,7722,7543,6428,10441,7400
ENSG00000031823,1182,863,966,831,1240,851
ENSG00000032219,1124,952,879,724,1251,1021
ENSG00000032389,1267,982,1073,888,1419,1043
ENSG00000032444,552,451,480,468,612,476
ENSG00000032742,464,357,333,297,502,356
ENSG00000033011,603,455,492,478,599,391
ENSG00000033030,1028,775,728,626,1044,759
ENSG00000033050,3614,2867,2746,2572,3585,2558
ENSG00000033100,1720,1331,1410,1297,1936,1273
ENSG00000033122,32,24,21,34,31,35
ENSG00000033170,2225,1864,1946,1438,2309,1621
ENSG00000033178,2791,2316,2407,1912,3288,2264
ENSG00000033327,700,587,569,514,842,621
ENSG00000033627,1043,887,952,838,1263,990
ENSG00000033800,995,851,842,675,1122,827
ENSG00000033867,2043,1544,1658,1533,2373,1796
ENSG00000034053,0,0,0,0,1,0
ENSG00000034152,945,795,776,840,1179,883
ENSG00000034239,0,0,0,0,0,0
ENSG00000034510,16216,13938,13702,11705,18736,13967
ENSG00000034533,273,247,204,154,238,136
ENSG00000034677,1513,1322,1390,1396,2591,1725
ENSG00000034693,548,465,459,333,637,437
ENSG00000034713,3150,2505,2693,2230,3703,2664
ENSG00000034971,0,2,0,0,0,0
ENSG00000035115,956,743,770,616,1028,703
ENSG00000035141,3373,2650,2537,2216,3535,2518
ENSG00000035403,2797,2337,2142,2008,3096,2222
ENSG00000035499,1475,1436,1487,1169,1904,1555
ENSG00000035664,478,378,423,367,584,435
ENSG00000035681,1267,893,923,869,1316,963
ENSG00000035687,830,620,605,541,862,580
ENSG00000035720,0,0,0,0,0,0
ENSG00000035862,617,507,598,457,636,570
ENSG00000035928,2258,1887,1811,1552,2499,1679
ENSG00000036054,894,810,877,673,1058,793
ENSG00000036257,1833,1459,1445,1290,2052,1487
ENSG00000036448,0,0,0,0,0,0
ENSG00000036473,0,0,0,0,0,0
ENSG00000036530,76,56,59,64,107,67
ENSG00000036549,1085,869,817,810,1250,862
ENSG00000036565,0,0,0,0,0,0
ENSG00000036672,89,93,99,59,96,100
ENSG00000036828,1,0,0,0,2,0
ENSG00000037042,794,567,679,570,839,651
ENSG00000037241,1083,908,920,815,1217,876
ENSG00000037280,172,113,117,110,141,95
ENSG00000037474,5198,4098,3984,3636,5954,4099
ENSG00000037637,862,683,696,606,897,651
ENSG00000037749,791,633,614,498,817,569
ENSG00000037757,987,744,837,733,1000,737
ENSG00000037897,1197,988,894,992,1439,958
ENSG00000037965,26,11,19,18,14,17
ENSG00000038002,840,658,716,625,937,710
ENSG00000038210,514,418,402,363,638,484
ENSG00000038219,860,741,677,644,1014,762
ENSG00000038274,1130,917,946,829,1383,839
ENSG00000038295,0,0,0,0,0,0
ENSG00000038358,3746,2774,3138,2699,3643,2784
ENSG00000038382,3658,2861,2908,2907,4263,3135
ENSG00000038427,0,0,0,0,0,0
ENSG00000038532,902,816,767,697,1037,740
ENSG00000038945,9,2,5,1,3,2
ENSG00000039068,16413,13590,13581,11837,17774,13309
ENSG00000039123,2482,1975,1934,1743,2742,1994
ENSG00000039139,122,105,119,95,149,102
ENSG00000039319,1711,1474,1492,1290,1986,1536
ENSG00000039523,891,689,778,656,982,691
ENSG00000039537,0,1,0,0,0,0
ENSG00000039560,621,508,577,505,781,499
ENSG00000039600,0,0,0,0,0,0
ENSG00000039650,1831,1379,1410,1442,2128,1600
ENSG00000039987,8,6,5,1,5,2
ENSG00000040199,1680,1403,1289,1249,1864,1364
ENSG00000040275,1253,1117,1183,752,1460,1104
ENSG00000040341,787,657,692,594,941,641
ENSG00000040487,612,470,469,447,628,446
ENSG00000040531,397,276,298,301,399,306
ENSG00000040608,121,106,120,142,141,110
ENSG00000040633,1188,884,884,519,835,595
ENSG00000040731,4,0,1,0,1,0
ENSG00000040933,1257,1004,1066,940,1391,1033
ENSG00000041353,832,681,671,533,824,550
ENSG00000041357,6734,5722,5386,4406,7916,5542
ENSG00000041515,3,5,2,4,6,4
ENSG00000041802,1845,1597,1549,1313,1969,1358
ENSG00000041880,88,83,88,67,101,84
ENSG00000041982,0,2,0,0,0,0
ENSG00000041988,238,170,223,129,195,143
ENSG00000042062,141,111,104,131,163,95
ENSG00000042088,962,837,839,691,1087,901
ENSG00000042286,1033,810,782,807,1121,881
ENSG00000042304,0,0,0,0,0,0
ENSG00000042317,159,138,144,110,197,128
ENSG00000042429,797,603,578,467,836,597
