,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAARAAPEI-220-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAABRAAPEI-221-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAACRAAPEI-222-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAADRAAPEI-223-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAERAAPEI-225-counts.tsv,170111_I211_FCHGTVNBBXX_L8_HKHUMpcnTAAFRAAPEI-227-counts.tsv
ENSG00000009335,6159,4892,4986,5033,5942,4903
ENSG00000009413,1831,1454,1512,1431,1633,1468
ENSG00000009694,46,45,50,34,47,39
ENSG00000009709,0,0,0,2,0,0
ENSG00000009724,27,28,16,32,18,20
ENSG00000009765,4,0,2,2,2,4
ENSG00000009780,190,134,134,171,160,144
ENSG00000009790,2,3,3,0,5,3
ENSG00000009830,969,751,763,809,931,804
ENSG00000009844,2098,1819,1659,1703,1836,1742
ENSG00000009950,420,280,317,382,349,326
ENSG00000009954,5116,4132,4013,3886,4578,3806
ENSG00000010017,1597,1327,1291,1310,1527,1371
ENSG00000010030,18,17,13,13,20,17
ENSG00000010072,322,274,267,258,339,286
ENSG00000010165,2326,2045,2115,1865,2143,1922
ENSG00000010219,221,181,196,217,227,195
ENSG00000010244,3518,2772,2892,2860,3411,2898
ENSG00000010256,3088,2329,2461,2479,2895,2526
ENSG00000010270,596,469,495,483,572,527
ENSG00000010278,8397,6751,7254,6917,8228,7532
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,10502,9481,10306,8363,10609,10393
ENSG00000010295,5,2,5,11,8,5
ENSG00000010310,52,34,41,45,52,56
ENSG00000010318,117,97,116,115,107,134
ENSG00000010319,15,16,15,14,16,10
ENSG00000010322,2338,1716,1904,1854,2129,1721
ENSG00000010327,1,2,1,0,3,0
ENSG00000010361,46,33,29,29,61,48
ENSG00000010379,2,1,1,0,0,2
ENSG00000010404,3677,3132,3173,3081,3397,3324
ENSG00000010438,0,1,1,1,0,0
ENSG00000010539,487,397,355,334,402,355
ENSG00000010610,0,1,0,0,0,0
ENSG00000010626,104,93,68,65,95,83
ENSG00000010671,0,2,3,0,0,1
ENSG00000010704,9,3,10,11,9,8
ENSG00000010803,472,403,437,424,502,418
ENSG00000010810,4,4,4,3,11,7
ENSG00000010818,502,366,405,414,459,447
ENSG00000010932,7,3,6,8,4,4
ENSG00000011007,2301,1921,1839,1803,2179,1743
ENSG00000011009,1990,1509,1589,1504,1787,1572
ENSG00000011021,460,419,448,443,510,409
ENSG00000011028,363,259,309,301,291,333
ENSG00000011052,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0
ENSG00000011105,839,622,677,672,796,747
ENSG00000011114,1412,1179,1166,1146,1349,1143
ENSG00000011132,228,173,208,170,215,213
ENSG00000011143,665,539,556,526,642,591
ENSG00000011198,630,491,487,540,587,465
ENSG00000011201,735,572,622,629,727,657
ENSG00000011243,1535,1219,1336,1279,1464,1258
ENSG00000011258,999,804,791,764,962,879
ENSG00000011260,3575,2802,2893,2712,3289,2850
ENSG00000011275,2338,1851,1922,1935,2281,1904
ENSG00000011295,1312,896,932,921,1123,1008
ENSG00000011304,12736,9573,10143,10858,12047,10134
ENSG00000011332,263,172,222,198,255,181
ENSG00000011347,697,513,544,502,640,505
ENSG00000011376,1144,838,809,873,1045,845
ENSG00000011405,3291,2894,2764,2914,3227,3076
ENSG00000011422,147,134,155,139,176,194
ENSG00000011426,2917,2496,2608,2405,3002,2800
ENSG00000011451,3907,2777,3134,3194,3632,3023
ENSG00000011454,2777,2312,2369,2250,2626,2522
ENSG00000011465,0,0,0,0,0,0
ENSG00000011478,612,568,665,709,827,730
ENSG00000011485,2934,2270,2350,2321,2738,2292
ENSG00000011523,715,601,609,569,714,646
ENSG00000011566,1180,965,981,1066,1035,1040
ENSG00000011590,23,22,28,24,25,23
ENSG00000011600,0,0,0,0,0,0
ENSG00000011638,689,561,558,520,612,551
ENSG00000011677,71,63,65,62,71,52
ENSG00000012048,1993,1617,1422,1554,1795,1408
ENSG00000012061,668,542,589,536,621,576
ENSG00000012124,210,142,157,190,179,132
ENSG00000012171,7784,5746,6636,6470,7437,6629
ENSG00000012174,1243,986,997,1000,1242,1034
ENSG00000012211,384,335,352,290,364,327
ENSG00000012223,3,0,4,6,5,4
ENSG00000012232,979,828,867,815,937,870
ENSG00000012504,0,0,0,0,0,0
ENSG00000012660,5844,4517,4551,4816,5325,4946
ENSG00000012779,4,0,2,1,6,0
ENSG00000012817,0,0,0,0,0,0
ENSG00000012822,398,328,371,323,363,400
ENSG00000012963,2351,1792,1760,1895,2117,1798
ENSG00000012983,1412,1138,1167,1268,1393,1317
ENSG00000013016,300,233,265,216,284,265
ENSG00000013275,5234,4235,4361,4315,5383,4335
ENSG00000013288,866,701,785,764,905,817
ENSG00000013293,2,1,0,0,1,0
ENSG00000013297,15,6,10,5,11,12
ENSG00000013306,9986,7809,8446,7960,9658,8321
ENSG00000013364,197,138,188,158,201,188
ENSG00000013374,1186,1022,1013,988,1193,1018
ENSG00000013375,1524,1344,1218,1243,1456,1335
ENSG00000013392,314,246,252,225,256,240
ENSG00000013441,1193,961,894,943,1243,997
ENSG00000013503,563,415,416,365,421,371
ENSG00000013523,1425,1122,1220,1161,1437,1334
ENSG00000013561,1089,848,821,869,927,939
ENSG00000013563,480,330,378,364,410,352
ENSG00000013573,3606,2714,2869,3040,3538,2818
ENSG00000013583,717,556,579,526,613,622
ENSG00000013588,2112,1785,1832,1985,2303,2221
ENSG00000013619,274,229,243,255,245,229
ENSG00000013725,0,2,0,0,0,0
ENSG00000013810,3295,2551,3147,2614,3254,2952
ENSG00000014123,1934,1616,1494,1572,1870,1626
ENSG00000014138,1893,1369,1373,1487,1679,1354
ENSG00000014164,761,646,648,565,716,613
ENSG00000014216,5318,4277,4689,4461,5359,4818
ENSG00000014257,16,14,24,18,28,24
ENSG00000014641,5156,4350,4309,4172,4982,4456
ENSG00000014824,1574,1259,1257,1428,1508,1353
ENSG00000014914,798,689,845,625,809,843
ENSG00000014919,1812,1512,1344,1434,1673,1437
ENSG00000015133,273,189,219,212,220,216
ENSG00000015153,501,456,421,410,465,501
ENSG00000015171,4239,3578,3484,3605,4143,3666
ENSG00000015285,42,43,57,31,51,44
ENSG00000015413,0,0,0,0,1,0
ENSG00000015475,2377,1827,1926,1903,2202,1930
ENSG00000015479,110,78,65,85,78,58
ENSG00000015520,3,3,2,2,6,0
ENSG00000015532,2102,1490,1738,1662,1946,1732
ENSG00000015568,15,27,15,25,22,24
ENSG00000015592,1,1,0,0,0,0
ENSG00000015676,1475,1186,1158,1171,1470,1229
ENSG00000016082,0,0,0,0,1,3
ENSG00000016391,1014,732,718,773,846,679
ENSG00000016402,120,87,66,88,90,102
ENSG00000016490,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0
ENSG00000016864,902,686,669,658,715,676
ENSG00000017260,2906,2328,2309,2502,2693,2400
ENSG00000017427,0,0,0,0,0,0
ENSG00000017483,5,11,6,5,8,5
ENSG00000017797,2650,2060,2212,1988,2317,2135
ENSG00000018189,677,520,602,583,719,675
ENSG00000018236,0,1,0,0,0,0
ENSG00000018280,61,43,52,36,64,52
ENSG00000018408,573,495,469,507,580,573
ENSG00000018510,0,0,0,0,0,0
ENSG00000018610,1142,827,905,937,1050,937
ENSG00000018625,0,0,0,0,0,0
ENSG00000018699,1083,860,847,841,1018,920
ENSG00000018869,0,0,0,0,0,0
ENSG00000019102,13,16,10,13,14,5
ENSG00000019144,1777,1346,1580,1461,1718,1539
ENSG00000019169,0,0,0,0,0,0
ENSG00000019186,575,436,414,601,660,543
ENSG00000019485,167,108,121,105,114,113
ENSG00000019505,1,1,1,4,2,2
ENSG00000019549,5,13,8,5,9,2
ENSG00000019582,7,0,2,2,6,4
ENSG00000019991,0,0,0,0,0,0
ENSG00000019995,718,583,585,533,644,580
ENSG00000020129,2545,1944,2144,2047,2375,2034
ENSG00000020181,12,6,9,6,15,9
ENSG00000020256,700,579,592,561,705,581
ENSG00000020426,695,653,654,646,788,732
ENSG00000020577,804,629,640,646,808,724
ENSG00000020633,1,1,0,2,1,4
ENSG00000020922,1143,896,898,938,1037,954
ENSG00000021300,255,207,224,187,247,191
ENSG00000021355,1218,941,876,947,1132,1031
ENSG00000021461,0,1,0,0,0,0
ENSG00000021488,0,1,2,0,2,0
ENSG00000021574,864,622,705,767,764,768
ENSG00000021645,189,157,198,139,176,176
ENSG00000021762,468,380,415,394,452,365
ENSG00000021776,1501,1166,1141,1193,1417,1292
ENSG00000021826,14,7,6,3,14,17
ENSG00000021852,0,0,0,0,0,0
ENSG00000022267,2,3,1,5,4,3
ENSG00000022277,3270,2616,2614,2660,3203,2630
ENSG00000022355,14,8,2,8,10,4
ENSG00000022556,1,2,0,0,2,0
ENSG00000022567,573,450,503,492,506,454
ENSG00000022840,2979,2424,2644,2403,2765,2768
ENSG00000022976,638,533,544,549,636,484
ENSG00000023041,1302,981,1043,1039,1206,1034
ENSG00000023171,56,56,59,73,76,76
ENSG00000023191,3245,2585,2753,2687,3086,2749
ENSG00000023228,4131,3511,3455,3525,3923,3571
ENSG00000023287,1130,904,1026,903,1072,1079
ENSG00000023318,1954,1695,1614,1692,1949,1773
ENSG00000023330,916,672,740,658,830,665
ENSG00000023445,2,1,7,1,2,5
ENSG00000023516,2535,1994,1924,2081,2326,2046
ENSG00000023572,1017,742,711,756,802,687
ENSG00000023608,167,119,116,106,134,144
ENSG00000023697,963,877,868,840,1004,833
ENSG00000023734,4921,4023,4062,4200,4629,4220
ENSG00000023839,82,53,64,69,79,44
ENSG00000023892,92,86,104,93,99,100
ENSG00000023902,464,364,428,389,521,434
ENSG00000023909,1117,867,892,912,1083,932
ENSG00000024048,1856,1474,1476,1490,1773,1600
ENSG00000024422,82,70,104,72,103,87
ENSG00000024526,1717,1598,1744,1368,1770,1879
ENSG00000024862,162,127,141,131,162,150
ENSG00000025039,33,34,32,37,34,36
ENSG00000025156,477,365,379,414,482,425
ENSG00000025293,1317,1090,1136,1055,1256,1109
ENSG00000025423,115,96,89,86,131,117
ENSG00000025434,312,220,259,231,308,251
ENSG00000025708,18,16,22,14,21,10
ENSG00000025770,1477,1056,1086,1201,1475,1177
ENSG00000025772,1639,1271,1350,1251,1491,1367
ENSG00000025796,3577,3001,2823,2931,3426,3016
ENSG00000025800,2442,2008,2059,1993,2286,2094
ENSG00000026025,64,59,62,58,92,60
ENSG00000026036,580,395,468,485,630,422
ENSG00000026103,253,221,202,250,277,213
ENSG00000026297,594,430,470,531,530,530
ENSG00000026508,1073,889,794,830,1024,950
ENSG00000026559,80,63,64,77,76,75
ENSG00000026652,3,1,2,1,3,2
ENSG00000026751,0,0,0,0,0,0
ENSG00000026950,26,18,23,24,23,46
ENSG00000027001,614,482,483,550,607,563
ENSG00000027075,619,533,504,506,550,519
ENSG00000027644,2,0,0,0,0,0
ENSG00000027697,444,361,321,377,394,342
ENSG00000027847,784,601,630,612,765,600
ENSG00000027869,5,3,1,1,4,4
ENSG00000028116,702,624,577,599,727,603
ENSG00000028137,0,0,0,0,0,0
ENSG00000028203,1587,1383,1311,1280,1522,1366
ENSG00000028277,41,39,31,27,27,27
ENSG00000028310,1936,1590,1659,1647,2046,1704
ENSG00000028528,3043,2520,2551,2620,2999,2538
ENSG00000028839,429,359,358,353,418,391
ENSG00000029153,176,105,134,124,161,115
ENSG00000029363,6108,4857,4424,4863,5630,4723
ENSG00000029364,1866,1556,1542,1608,1804,1626
ENSG00000029534,34,20,18,30,30,24
ENSG00000029559,4,1,0,0,0,1
ENSG00000029639,178,166,142,160,162,145
ENSG00000029725,1688,1461,1372,1441,1618,1462
ENSG00000029993,6961,6079,6248,5890,7093,6747
ENSG00000030066,3431,2626,2683,2874,3285,2725
ENSG00000030110,1075,863,927,859,1073,864
ENSG00000030304,0,0,0,0,0,0
ENSG00000030419,422,334,363,312,369,339
ENSG00000030582,5621,4076,4641,4512,5374,4740
ENSG00000031003,1006,785,715,718,908,692
ENSG00000031081,40,28,34,33,27,25
ENSG00000031691,412,370,360,361,372,377
ENSG00000031698,9360,7722,7543,7288,8719,7859
ENSG00000031823,1182,863,966,990,1111,818
ENSG00000032219,1124,952,879,887,1042,1030
ENSG00000032389,1267,982,1073,1032,1161,1062
ENSG00000032444,552,451,480,411,496,488
ENSG00000032742,464,357,333,343,382,369
ENSG00000033011,603,455,492,479,565,463
ENSG00000033030,1028,775,728,845,959,832
ENSG00000033050,3614,2867,2746,2976,3300,2849
ENSG00000033100,1720,1331,1410,1449,1579,1332
ENSG00000033122,32,24,21,30,29,29
ENSG00000033170,2225,1864,1946,1657,1981,1848
ENSG00000033178,2791,2316,2407,2259,2657,2593
ENSG00000033327,700,587,569,611,700,619
ENSG00000033627,1043,887,952,897,1140,996
ENSG00000033800,995,851,842,778,894,783
ENSG00000033867,2043,1544,1658,1709,1889,1982
ENSG00000034053,0,0,0,0,1,0
ENSG00000034152,945,795,776,799,971,837
ENSG00000034239,0,0,0,0,0,0
ENSG00000034510,16216,13938,13702,12880,15933,14015
ENSG00000034533,273,247,204,226,267,177
ENSG00000034677,1513,1322,1390,1289,1488,1399
ENSG00000034693,548,465,459,451,521,458
ENSG00000034713,3150,2505,2693,2508,2948,2781
ENSG00000034971,0,2,0,0,0,0
ENSG00000035115,956,743,770,814,921,799
ENSG00000035141,3373,2650,2537,2704,3176,2605
ENSG00000035403,2797,2337,2142,2155,2496,2143
ENSG00000035499,1475,1436,1487,1321,1648,1600
ENSG00000035664,478,378,423,363,452,429
ENSG00000035681,1267,893,923,1018,1150,969
ENSG00000035687,830,620,605,613,741,574
ENSG00000035720,0,0,0,0,0,0
ENSG00000035862,617,507,598,545,656,562
ENSG00000035928,2258,1887,1811,1761,2148,1861
ENSG00000036054,894,810,877,821,901,896
ENSG00000036257,1833,1459,1445,1439,1701,1549
ENSG00000036448,0,0,0,0,0,0
ENSG00000036473,0,0,0,0,0,0
ENSG00000036530,76,56,59,72,82,75
ENSG00000036549,1085,869,817,846,1090,909
ENSG00000036565,0,0,0,0,0,0
ENSG00000036672,89,93,99,61,74,86
ENSG00000036828,1,0,0,0,0,0
ENSG00000037042,794,567,679,632,781,687
ENSG00000037241,1083,908,920,899,1142,905
ENSG00000037280,172,113,117,122,125,111
ENSG00000037474,5198,4098,3984,4241,4775,3999
ENSG00000037637,862,683,696,723,759,749
ENSG00000037749,791,633,614,641,752,669
ENSG00000037757,987,744,837,801,928,766
ENSG00000037897,1197,988,894,1006,1230,837
ENSG00000037965,26,11,19,14,18,21
ENSG00000038002,840,658,716,683,815,716
ENSG00000038210,514,418,402,440,517,489
ENSG00000038219,860,741,677,705,860,768
ENSG00000038274,1130,917,946,959,1046,998
ENSG00000038295,0,0,0,0,0,0
ENSG00000038358,3746,2774,3138,2782,3547,2992
ENSG00000038382,3658,2861,2908,3014,3492,3078
ENSG00000038427,0,0,0,1,1,0
ENSG00000038532,902,816,767,786,876,779
ENSG00000038945,9,2,5,2,2,3
ENSG00000039068,16413,13590,13581,13630,15545,13874
ENSG00000039123,2482,1975,1934,1994,2269,2092
ENSG00000039139,122,105,119,104,121,148
ENSG00000039319,1711,1474,1492,1421,1722,1600
ENSG00000039523,891,689,778,738,877,733
ENSG00000039537,0,1,0,0,0,0
ENSG00000039560,621,508,577,541,637,529
ENSG00000039600,0,0,0,0,0,0
ENSG00000039650,1831,1379,1410,1724,1803,1387
ENSG00000039987,8,6,5,3,3,6
ENSG00000040199,1680,1403,1289,1404,1601,1441
ENSG00000040275,1253,1117,1183,985,1280,1131
ENSG00000040341,787,657,692,728,730,761
ENSG00000040487,612,470,469,502,583,457
ENSG00000040531,397,276,298,318,359,285
ENSG00000040608,121,106,120,117,131,115
ENSG00000040633,1188,884,884,752,949,852
ENSG00000040731,4,0,1,1,1,0
ENSG00000040933,1257,1004,1066,965,1151,1048
ENSG00000041353,832,681,671,639,704,657
ENSG00000041357,6734,5722,5386,5336,6488,5664
ENSG00000041515,3,5,2,5,7,7
ENSG00000041802,1845,1597,1549,1493,1776,1488
ENSG00000041880,88,83,88,70,90,82
ENSG00000041982,0,2,0,0,0,1
ENSG00000041988,238,170,223,180,214,217
ENSG00000042062,141,111,104,136,140,107
ENSG00000042088,962,837,839,831,1074,877
ENSG00000042286,1033,810,782,736,1018,728
ENSG00000042304,0,0,0,0,0,0
ENSG00000042317,159,138,144,155,154,166
ENSG00000042429,797,603,578,703,678,629
ENSG00000042445,1280,1039,1064,1032,1213,1131
